intervention,count
intervention,11
intervention,20
intervention,12
intervention,13
intervention,18
intervention,11
intervention,11
intervention,15
intervention,13
intervention,12
intervention,7
intervention,13
intervention,12
intervention,11
intervention,18
intervention,14
intervention,17
intervention,20
intervention,11
intervention,14
intervention,10
intervention,15
intervention,11
intervention,15
intervention,9
intervention,12
intervention,10
intervention,14
intervention,16
intervention,12
intervention,15
intervention,11
intervention,14
intervention,14
intervention,8
intervention,12
intervention,12
intervention,13
intervention,14
intervention,17
intervention,8
intervention,11
intervention,13
intervention,9
intervention,16
intervention,15
intervention,21
intervention,10
intervention,10
intervention,13
intervention,20
non_intervention,42
non_intervention,22
non_intervention,23
non_intervention,31
non_intervention,27
non_intervention,28
non_intervention,34
non_intervention,22
non_intervention,32
non_intervention,26
non_intervention,35
non_intervention,41
non_intervention,25
non_intervention,38
non_intervention,28
non_intervention,31
non_intervention,23
non_intervention,24
non_intervention,28
non_intervention,42
non_intervention,35
non_intervention,37
non_intervention,36
